Rank,Artist,Song,Popularity,URL
8,PJ Harvey,Red Right Hand - From 'Peaky Blinders' Original Soundtrack,47,https://open.spotify.com/track/0E0ZAWynZx0CutIg4rb8q3
9,PJ Harvey,Is This Desire?,47,https://open.spotify.com/track/3bHnxT5KHWPOb7Pl34jmzG
10,PJ Harvey,C'mon Billy,46,https://open.spotify.com/track/56sWRGGeRFWgFhrMOgOyZC
1,Lorde,Royals,78,https://open.spotify.com/track/2dLLR6qlu5UJ5gk0dKz0h3
2,Lorde,Team,74,https://open.spotify.com/track/3G6hD9B2ZHOsgf4WfNu7X1
3,Lorde,Ribs,74,https://open.spotify.com/track/2MvvoeRt8NcOXWESkxWn3g
4,Lorde,Green Light,73,https://open.spotify.com/track/6ie2Bw3xLj2JcGowOlcMhb
5,Lorde,Liability,71,https://open.spotify.com/track/6Kkt27YmFyIFrcX3QXFi2o
6,Lorde,Tennis Court,68,https://open.spotify.com/track/74fpNVAJrKGQuqHETi4WSt
7,Lorde,Supercut,68,https://open.spotify.com/track/6K8VQ84MqhsoakN5MjrnVR
8,Lorde,Perfect Places,66,https://open.spotify.com/track/7ARveOiD31w2Nq0n5FsSf8
9,Lorde,Homemade Dynamite - REMIX,65,https://open.spotify.com/track/5u64RlrnvvbtNh6R0EMh6o
10,Lorde,The Love Club,65,https://open.spotify.com/track/2yrJ1jWo3HLksJFUqUsZE4
1,The Lumineers,Ophelia,72,https://open.spotify.com/track/3d8y0t70g7hw2FOWl9Z4Fm
2,The Lumineers,Ho Hey,70,https://open.spotify.com/track/0W4Kpfp1w2xkY3PrV714B7
3,The Lumineers,Sleep On The Floor,66,https://open.spotify.com/track/5MMZJtHOiH1RmQSSe3DJdg
4,The Lumineers,Stubborn Love,65,https://open.spotify.com/track/3ekNuTF3UpOvIZCfiejpnC
5,The Lumineers,Gloria,65,https://open.spotify.com/track/5BkGp7FLUUpKgWl29jBK0J
6,The Lumineers,Cleopatra,63,https://open.spotify.com/track/2ToW7zhGCrVrLU4fiKj9U1
7,The Lumineers,Flowers in Your Hair,62,https://open.spotify.com/track/3Hvg5tRKsQlX25wYwgMF9p
8,The Lumineers,Life In The City,62,https://open.spotify.com/track/5WyL4ZuwJ06qVd8X5bf2b5
9,The Lumineers,Angela,61,https://open.spotify.com/track/5bodDpPolC3xlame0SVcDY
10,The Lumineers,Nobody Knows,60,https://open.spotify.com/track/7A0FGrZsLgOUmeNtMTnt4z
1,The Common Linnets,Calm After The Storm,51,https://open.spotify.com/track/6C2GZHFFO8uXuMYCHiW5Y4
2,The Common Linnets,Calm After The Storm - Radio Edit,50,https://open.spotify.com/track/3mWdxSsbIK45Brors2XWR1
3,The Common Linnets,Love Goes On,38,https://open.spotify.com/track/5VWGAkebuETSfhmje80eOY
4,The Common Linnets,Still Loving After You,33,https://open.spotify.com/track/3ghBO6rzE71dMd97kjJnmN
5,The Common Linnets,Hungry Hands,32,https://open.spotify.com/track/4TocBWth17mfofROocwvEo
6,The Common Linnets,Broken But Home,27,https://open.spotify.com/track/7KzOURfRmhwA5TelzX2xbB
7,The Common Linnets,Where Do I Go With Me,25,https://open.spotify.com/track/1cJ4S1EigJZvAET1UMETEx
8,The Common Linnets,Arms Of Salvation,24,https://open.spotify.com/track/3uKgWmEuxtsKt3elrXRVa8
9,The Common Linnets,Give Me A Reason,24,https://open.spotify.com/track/1T6E9hcwlaw95qMTQNm0ry
10,The Common Linnets,Before Complete Surrender,23,https://open.spotify.com/track/6IdqUTk2MFjMLZjywcptGl
1,Louis Armstrong,What A Wonderful World - Single Version,67,https://open.spotify.com/track/29U7stRjqHU6rMiS8BfaI9
2,Louis Armstrong,Dream A Little Dream Of Me - Single Version,71,https://open.spotify.com/track/78MI7mu1LV1k4IA2HzKmHe
3,Louis Armstrong,Cheek To Cheek,66,https://open.spotify.com/track/33jt3kYWjQzqn3xyYQ5ZEh
4,Louis Armstrong,Summertime,65,https://open.spotify.com/track/2gNjmvuQiEd2z9SqyYi8HH
5,Louis Armstrong,La vie en rose - Single Version,59,https://open.spotify.com/track/3yYfoYGVpriV4fG9L1ogsD
6,Louis Armstrong,They Can't Take That Away From Me,60,https://open.spotify.com/track/1V4NaFlrUCK49MXcdOcVeS
7,Louis Armstrong,A Kiss To Build A Dream On - Single Version,60,https://open.spotify.com/track/5y8zb3grlQonjdqd27K39T
8,Louis Armstrong,Let's Call The Whole Thing Off,55,https://open.spotify.com/track/6NDaYWg85ZnJ3Ae0WkILWh
9,Louis Armstrong,We Have All The Time In The World - Remastered,55,https://open.spotify.com/track/0OAnoLrIVxpdne3mkVLrwr
10,Louis Armstrong,"Hello, Dolly!",55,https://open.spotify.com/track/63kd4m3VFxcJjPVVtbVNAu
1,George Michael,Faith - Remastered,75,https://open.spotify.com/track/0HEmnAUT8PHznIAAmVXqFJ
2,George Michael,Careless Whisper,75,https://open.spotify.com/track/4jDmJ51x1o9NZB5Nxxc7gY
3,George Michael,Freedom! '90 - Remastered,69,https://open.spotify.com/track/3tyTt5pEWblt96j1HsXiV5
4,George Michael,Father Figure - Remastered,65,https://open.spotify.com/track/0L0T4tMAaGqLgIVj1MOj9t
5,George Michael,Don't Let The Sun Go Down On Me - Live At Wembley Arena / 1991,55,https://open.spotify.com/track/2KZJJ1rhRVmXM4lwW4OLo9
6,George Michael,"Fastlove, Pt. 1",62,https://open.spotify.com/track/6SaeXxdt0Id6ZzmX0ZGTQK
7,George Michael,I Knew You Were Waiting (For Me),58,https://open.spotify.com/track/2XgDgIsVUOt9Lov5G4Wruy
8,George Michael,Jesus to a Child,60,https://open.spotify.com/track/2SzCxX6M6vDwdEwnHDiTaY
9,George Michael,Don't Let the Sun Go Down on Me,60,https://open.spotify.com/track/0q90594hk25yo0xZmBTqCd
10,George Michael,As,58,https://open.spotify.com/track/7r3KzVwHtr2iMZtqJvFn9A
1,Kate Bush,Wuthering Heights,68,https://open.spotify.com/track/5YSI1311X8t31PBjkBG4CZ
2,Kate Bush,Running Up That Hill (A Deal With God),67,https://open.spotify.com/track/75FEaRjZTKLhTrFGsfMUXR
3,Kate Bush,Cloudbusting,60,https://open.spotify.com/track/5atQ2haKP5LT65WM0KUts3
4,Kate Bush,This Woman's Work,48,https://open.spotify.com/track/6FN08oB3MT2BxYIJoR1CZ5
5,Kate Bush,Hounds Of Love,55,https://open.spotify.com/track/0iluWxTpC9QOdVPg3PROvm
6,Kate Bush,The Man with the Child in His Eyes,54,https://open.spotify.com/track/4xjVfArXNQRxAvsUpjmfMt
7,Kate Bush,Babooshka - 2018 Remaster,50,https://open.spotify.com/track/6VpNGCU2ig4NQmsLfALdJU
8,Kate Bush,And Dream Of Sheep,50,https://open.spotify.com/track/15FBisvPECCYwyG4l8FJQ9
9,Kate Bush,Army Dreamers - 2018 Remaster,45,https://open.spotify.com/track/135ArLV1euyyeegU9D8HVR
10,Kate Bush,The Big Sky - Special Single Mix,47,https://open.spotify.com/track/50T7xShSIGpOKvpyVahSAx
1,The Human League,Don't You Want Me,74,https://open.spotify.com/track/3L7RtEcu1Hw3OXrpnthngx
2,The Human League,Human - Remastered,48,https://open.spotify.com/track/3gE2Af7Tgd1iZOO1xbTqoh
3,The Human League,Love Action (I Believe In Love),53,https://open.spotify.com/track/5RBPXlIiZVrr8hab7LpRJB
4,The Human League,Together In Electric Dreams,26,https://open.spotify.com/track/2E4jzR4vViBok9MXHTxkLW
5,The Human League,The Lebanon,37,https://open.spotify.com/track/1H5PKvXYdGgHKv8bPtRwQI
6,The Human League,(Keep Feeling) Fascination - Remastered,44,https://open.spotify.com/track/0ZfZaT7NByalxa6bct5G67
7,The Human League,Mirror Man,45,https://open.spotify.com/track/52s6Ea6aSZMvPUIH0dSpk4
8,The Human League,Being Boiled - Fast Version / 2003 Digital Remaster,45,https://open.spotify.com/track/2xN8RYKg69sdfoqtvYnwwM
9,The Human League,Human,43,https://open.spotify.com/track/537yo062QIz16oQOgxmul3
10,The Human League,The Things That Dreams Are Made Of - 2002 Mix,43,https://open.spotify.com/track/5GLYtND9tYHCEdIQ1i1JH3
1,Joan Armatrading,Love And Affection,47,https://open.spotify.com/track/6Mnne5V9ZifNID59dswUcZ
2,Joan Armatrading,Drop The Pilot,50,https://open.spotify.com/track/72YATNrv9D0QIVgOURyTFg
3,Joan Armatrading,The Weakness In Me,50,https://open.spotify.com/track/6oQFgTIK0EUnR7tzimN4Xn
4,Joan Armatrading,Down To Zero,42,https://open.spotify.com/track/7G4T7qkB0Wp32ItIvxBCw5
5,Joan Armatrading,Woncha Come On Home,45,https://open.spotify.com/track/5ToYFbGSkzTk2oLlCfR3Yp
6,Joan Armatrading,Rosie,41,https://open.spotify.com/track/4yMdCBVURkXYYNtY53H1FY
7,Joan Armatrading,Willow - Uk Single Edited Version,38,https://open.spotify.com/track/5Nb48nRDChYuWtnp6dMyqL
8,Joan Armatrading,Me Myself I,25,https://open.spotify.com/track/7hWvIabA9JtLuz1aE6U1Oh
9,Joan Armatrading,Willow,37,https://open.spotify.com/track/6mEdfYTzqToL2Fv350aA1d
10,Joan Armatrading,This Charming Life,34,https://open.spotify.com/track/1fgRm2BjreTRbW7gyqQO39
1,Tangerine Dream,Love On A Real Train,39,https://open.spotify.com/track/6p4rq5rCLgPjjxVmPOLlhN
2,Tangerine Dream,We Were Set Up,46,https://open.spotify.com/track/5TIUDzYLen3Zm3WvsHEEZ4
3,Tangerine Dream,Cloudburst Flight,41,https://open.spotify.com/track/3vGCZR6nHYd3be31turwDA
4,Tangerine Dream,No Happy Endings,41,https://open.spotify.com/track/0L3sVg8YSDMhUayRUVkXPx
5,Tangerine Dream,Mother of All Sources,30,https://open.spotify.com/track/3oqQpfapPYWdoR3Gk3UXvV
6,Tangerine Dream,Los Santos City Map,38,https://open.spotify.com/track/1q9OtIp10Ox2RWSbVfk6Zq
7,Tangerine Dream,North Yankton Memories,38,https://open.spotify.com/track/4Rqxtl1vUNoEjOntqRRLzm
8,Tangerine Dream,Phaedra - Remastered 2018,38,https://open.spotify.com/track/6Qx7IRv8VmRTppmnks6fDm
9,Tangerine Dream,Love on a Real Train (Rerecorded),34,https://open.spotify.com/track/0Dqbt9twS7u6wg1CE6PgZb
10,Tangerine Dream,Minor Turbulence,34,https://open.spotify.com/track/13pxbF7TTRFpBBLnMoybZo
1,The Mamas & The Papas,California Dreamin' - Single Version,76,https://open.spotify.com/track/4s6LhHAV5SEsOV0lC2tjvJ
2,The Mamas & The Papas,Dream A Little Dream Of Me - With Introduction,68,https://open.spotify.com/track/27hhIs2fp6w06N5zx4Eaa5
3,The Mamas & The Papas,"Monday, Monday - Single Version",62,https://open.spotify.com/track/3EFb1qDgIqf9MegIryKtDj
4,The Mamas & The Papas,Dedicated To The One I Love,58,https://open.spotify.com/track/1mFrjW8e8fuAOowlU3Q3Dr
5,The Mamas & The Papas,Snowqueen Of Texas,52,https://open.spotify.com/track/5DPNLHoisZSIInV23TJ49P
6,The Mamas & The Papas,Twelve Thirty - Single Version,51,https://open.spotify.com/track/4ZK6Vo5lRD0IkT9Fm8b93L
7,The Mamas & The Papas,Straight Shooter,51,https://open.spotify.com/track/5m63cyB8bzbRSEs53K8CxF
8,The Mamas & The Papas,Creeque Alley - Single Version,49,https://open.spotify.com/track/2pfEVSZdq5McocgAYWhgLu
9,The Mamas & The Papas,Go Where You Wanna Go,48,https://open.spotify.com/track/78Piv35GAw7BI81hFi8EmB
10,The Mamas & The Papas,I Saw Her Again - Single Version,47,https://open.spotify.com/track/2UizutYVqaB33jCHbSoi0d
1,Billy Currington,Do I Make You Wanna,71,https://open.spotify.com/track/3I7krC8kr0gFR7P6vInR1I
2,Billy Currington,Good Directions,68,https://open.spotify.com/track/7GQjJEwqlp6m5HNWVQd6OR
3,Billy Currington,It Don't Hurt Like It Used To,67,https://open.spotify.com/track/0iA1unTbTbDOWUSlbwJ1pS
4,Billy Currington,Must Be Doin' Somethin' Right,64,https://open.spotify.com/track/6TefPQD0oc88BNALpu4U87
5,Billy Currington,Details,63,https://open.spotify.com/track/4MCPNnJkkIzNGCCBE9XVhX
6,Billy Currington,People Are Crazy,62,https://open.spotify.com/track/5JnLiuMgRAWoHYOhatFP3s
7,Billy Currington,Don't It,62,https://open.spotify.com/track/4iLPK8QnOvqm0Azbsk2GDn
8,Billy Currington,Pretty Good At Drinkin' Beer,61,https://open.spotify.com/track/6a7wXoZOARI8IqEXObjhDz
9,Billy Currington,Let Me Down Easy,61,https://open.spotify.com/track/1tZ5C8zI326sIB4kBErdmC
10,Billy Currington,Bring It On Over,61,https://open.spotify.com/track/446Jufq5oOCwOSXbkqq5yD
1,Kevin Coyne,Marlene,32,https://open.spotify.com/track/153lxKA3qpF57e1py5VWbf
2,Kevin Coyne,Eastbourne Ladies,29,https://open.spotify.com/track/4ZZvSJZdaeZsECmIAJF1fQ
3,Kevin Coyne,Sunday Morning Sunrise,17,https://open.spotify.com/track/1XaV1kFZHwS7YlKztFCQNR
4,Kevin Coyne,Eastbourne Ladies - 2010 Digital Remastered,13,https://open.spotify.com/track/1OsAljyupOKJbaLIlT8TBI
5,Kevin Coyne,House On The Hill,12,https://open.spotify.com/track/0OoL8ArLe7pALWknzNgltT
6,Kevin Coyne,I Really Love You,10,https://open.spotify.com/track/7B6HiSR7bAWXQlUo2O6qjV
7,Kevin Coyne,Having A Party,1,https://open.spotify.com/track/77kVS0wsFPK2V4hjqgfBQD
8,Kevin Coyne,World Is Full Of Fools - 2010 Digital Remaster,3,https://open.spotify.com/track/0iEpt5hGOBQVsfO0wwTcKf
9,Kevin Coyne,Jackie And Edna - 2010 Digital Remastered,9,https://open.spotify.com/track/4ItEaOLi9ZQA6yGlAsSyUy
10,Kevin Coyne,Are You Deceiving Me?,8,https://open.spotify.com/track/1XAMwNz0hTSQiwqBrOlnxX
1,Traffic,Dear Mr. Fantasy,61,https://open.spotify.com/track/5CGpPUcUahMuLzkNK9ZgPP
2,Traffic,Feelin' Alright?,53,https://open.spotify.com/track/5eo3Oql60QR7NL2zcEsbe8
3,Traffic,Light Up Or Leave Me Alone,49,https://open.spotify.com/track/6MeSDfZgtjw7k9QgdLxbNI
4,Traffic,The Low Spark Of High-Heeled Boys,49,https://open.spotify.com/track/1yW6y8RufwB4WEAQeip0tx
5,Traffic,Who Knows What Tomorrow May Bring,41,https://open.spotify.com/track/1wRvycpAMRdVEuQro58x4x
6,Traffic,Empty Pages,40,https://open.spotify.com/track/3MT4gmgqhOxg6gyqnRQBzB
7,Traffic,John Barleycorn,39,https://open.spotify.com/track/7Elpy1j2VMqspByPOATCMp
8,Traffic,Glad,38,https://open.spotify.com/track/6gJhXogJiEETVQ0V4wyj79
9,Traffic,Hole In My Shoe,37,https://open.spotify.com/track/631AQDVTn4ZJRBFDeFMlZ4
10,Traffic,Rock 'N' Roll Stew,36,https://open.spotify.com/track/5427wDDhMPdeitkSUWnUd0
1,Mary Wells,My Guy,67,https://open.spotify.com/track/4591VqUIXysNlmI5NcAIUd
2,Mary Wells,You Beat Me To The Punch - Stereo Version,50,https://open.spotify.com/track/4Sz8zFchpHQVQVqVyGz5Jb
3,Mary Wells,Two Lovers,48,https://open.spotify.com/track/00CmjeeHvAVKvx3tcIiZTy
4,Mary Wells,The One Who Really Loves You - Single Version,47,https://open.spotify.com/track/4M732X5J2BE6M8VIHHfxMx
5,Mary Wells,I Want You 'Round,41,https://open.spotify.com/track/3YOJj1WxUndJ5XZQC5T4Ib
6,Mary Wells,What Love Has Joined Together - Single Version,39,https://open.spotify.com/track/1mEToiltl9clpWzTfVHyCd
7,Mary Wells,Laughing Boy,37,https://open.spotify.com/track/3jnxnBVwaRUMYuQQmts6YR
8,Mary Wells,Your Old Stand By - Single Version,36,https://open.spotify.com/track/3HRxEdvX2nvtfITYjiOTjF
9,Mary Wells,He's The One I Love,33,https://open.spotify.com/track/3GtbfRSJPX6zeRP4YXSmVR
10,Mary Wells,Once Upon A Time,29,https://open.spotify.com/track/60SBAA4eKlVzQ8GtC9MPuY
1,Queen,Bohemian Rhapsody - 2011 Mix,75,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
2,Queen,Don't Stop Me Now - 2011 Mix,74,https://open.spotify.com/track/7hQJA50XrCWABAu5v6QZ4i
3,Queen,Another One Bites The Dust - Remastered 2011,73,https://open.spotify.com/track/57JVGBtBLCfHw2muk5416J
4,Queen,Under Pressure - Remastered,71,https://open.spotify.com/track/11IzgLRXV7Cgek3tEgGgjw
5,Queen,We Will Rock You - Remastered,70,https://open.spotify.com/track/54flyrjcdnQdco7300avMJ
6,Queen,We Are The Champions - Remastered 2011,65,https://open.spotify.com/track/7ccI9cStQbQdystvc6TvxD
7,Queen,Radio Ga Ga - 2011 Mix,65,https://open.spotify.com/track/1HmzAZUvhQLhLo2z3ocpZI
8,Queen,I Want To Break Free - Remastered 2011,63,https://open.spotify.com/track/7h2yhVxcZOGyQdOwD4Hu8J
9,Queen,Somebody To Love - 2011 Mix,69,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf
10,Queen,Love Of My Life - Remastered 2011,61,https://open.spotify.com/track/790YJcgHlN3SaosQCHlWzn
1,Motörhead,Ace of Spades,74,https://open.spotify.com/track/6EPRKhUOdiFSQwGBRBbvsZ
2,Motörhead,Overkill,61,https://open.spotify.com/track/1Krtfh550kyhfWPcRp6SnD
3,Motörhead,Killed by Death,59,https://open.spotify.com/track/4W2CRPuOl8wN3aR7QmOmQE
4,Motörhead,God Was Never on Your Side,57,https://open.spotify.com/track/3zeQSYzaN9kLVypKWr6yUi
5,Motörhead,The Game (Triple H),52,https://open.spotify.com/track/2zSpaFB7e0Yo1QKsDQ22Ol
6,Motörhead,Heroes,56,https://open.spotify.com/track/72vjPBpLyuwS5ik1y1E5YE
7,Motörhead,Love Me Forever,54,https://open.spotify.com/track/7akyedgeVgZeT6oD77nyHn
8,Motörhead,Sympathy For The Devil,52,https://open.spotify.com/track/5Yql4ooghbDqwXIvCGXsdx
9,Motörhead,King of Kings (Triple H),52,https://open.spotify.com/track/1lelIeP3r2vCxDkNI05jZp
10,Motörhead,Damage Case,51,https://open.spotify.com/track/04jt8ltrZY0Dh9nGwBazYH
1,INXS,Need You Tonight,64,https://open.spotify.com/track/5eU8qMd0TpaLqTGDZJaLDs
2,INXS,Never Tear Us Apart,60,https://open.spotify.com/track/1qQSRy9DjrGh3jtsSCU6B1
3,INXS,New Sensation,56,https://open.spotify.com/track/2bxY1baYlyXNzmjOkFvqId
4,INXS,Beautiful Girl,52,https://open.spotify.com/track/6N81xlWzMaEYhjHry55OSI
5,INXS,Don't Change,56,https://open.spotify.com/track/6ck0CGe9BN9gW5oMmzbhs9
6,INXS,Mystify,47,https://open.spotify.com/track/7LV9R3L1YfTSoefglhUyPD
7,INXS,Original Sin,42,https://open.spotify.com/track/3STinUpwNebQI95obNB738
8,INXS,By My Side,40,https://open.spotify.com/track/3feDdjOYqdMd8BCJOZ36P1
9,INXS,Suicide Blonde,47,https://open.spotify.com/track/3DPyS3odFIWQ3E2IFqHEdG
10,INXS,Devil Inside,49,https://open.spotify.com/track/3m4OWJ3Ovl0pXwT79bw94N
1,Carpenters,Yesterday Once More,66,https://open.spotify.com/track/3wM6RTAnF7IQpMFd7b9ZcL
2,Carpenters,(They Long To Be) Close To You,61,https://open.spotify.com/track/50q2aUjWoTn6CJIfSPRJQA
3,Carpenters,Top Of The World,65,https://open.spotify.com/track/1Ehdm1PDlKrdfyBsjwEvd1
4,Carpenters,Please Mr. Postman,63,https://open.spotify.com/track/74jZhGv0fdLaf9q8AZZ15k
5,Carpenters,I Won't Last A Day Without You,60,https://open.spotify.com/track/42CX3VhPsCG75BFp07r9Vj
6,Carpenters,We've Only Just Begun,54,https://open.spotify.com/track/3m167vBQI5YLK0a1m6L6Y1
7,Carpenters,Rainy Days And Mondays,58,https://open.spotify.com/track/5cbZDpFu1hTwaU7hDQpf13
8,Carpenters,Superstar,55,https://open.spotify.com/track/1Gv6f7m5ZNDcInxGA8PsLS
9,Carpenters,Love Me For What I Am,54,https://open.spotify.com/track/0cRuocQnySYHxzgva3k2ai
10,Carpenters,You,42,https://open.spotify.com/track/2OtEBHbCnNUYuRudx8UFs0
1,Joan Baez,Diamonds And Rust,61,https://open.spotify.com/track/4O0sGJdqpHMaWz7KoVd7tb
2,Joan Baez,The Night They Drove Old Dixie Down,55,https://open.spotify.com/track/0uHYplBhwLYey7f9qAmnSM
3,Joan Baez,House Of The Rising Sun,48,https://open.spotify.com/track/3AuVZyDw1VhjjLfHZR4ba3
4,Joan Baez,Donna Donna,47,https://open.spotify.com/track/49uBVeaM3ixGD8VIeqh9KI
5,Joan Baez,Blowin' In The Wind - Live,45,https://open.spotify.com/track/3Fd225w3GoHV26eYzEpbiR
6,Joan Baez,Eleanor Rigby,36,https://open.spotify.com/track/11g7tN5EprSCIwASIN6Jxn
7,Joan Baez,Brothers In Arms,26,https://open.spotify.com/track/1ByLEl7kTAAmBo68GH6A7I
8,Joan Baez,"Don't Think Twice, It's All Right",35,https://open.spotify.com/track/3ORn0rgu27z7hlnNgvYWse
9,Joan Baez,Silver Dagger,39,https://open.spotify.com/track/2hulWLdzjBexk2bxQpcUp7
10,Joan Baez,"Babe, I'm Gonna Leave You",37,https://open.spotify.com/track/0QeCux4ywDSHREzBQscoGI
1,Ray Charles,I've Got a Woman,66,https://open.spotify.com/track/2xar08Fq5xra2KKZs5Bw9j
2,Ray Charles,"Hallelujah, I Love Her So",63,https://open.spotify.com/track/5P11rW6aJErF37MTfRZS31
3,Ray Charles,"What'd I Say, Pt. 1 & 2",61,https://open.spotify.com/track/5yQ9iMZXGcr5rlO4hoLsP4
4,Ray Charles,I Can't Stop Loving You,61,https://open.spotify.com/track/79nJj5dMyTsUzKvN5jUXsJ
5,Ray Charles,Mess Around,58,https://open.spotify.com/track/7DJsL4jyXA39GDiHFQYQ0t
6,Ray Charles,Here We Go Again,27,https://open.spotify.com/track/4UpiGzkVYkUieq1JTwFp5m
7,Ray Charles,It Had to Be You,53,https://open.spotify.com/track/76MSB9fAR5jXVcBXdK5xMy
8,Ray Charles,Come Rain or Come Shine,51,https://open.spotify.com/track/2htH7r8oqqEwp3BB6oh2cU
9,Ray Charles,Drown in My Own Tears,50,https://open.spotify.com/track/0oQtjAjUeksVd9gHE5fl02
10,Ray Charles,"What'd I Say, Pt. 1 & 2",46,https://open.spotify.com/track/3JvDEbXLKUxaNv0D0txup5
1,Poison,Every Rose Has Its Thorn - Remastered 2003,72,https://open.spotify.com/track/43GS3mtezoIFiuIZCLLiDY
2,Poison,Nothin' But A Good Time - Remastered 2006,66,https://open.spotify.com/track/2V8KvnD5LVeeDChMWEkSzC
3,Poison,Unskinny Bop,61,https://open.spotify.com/track/1Z6lKdYhwp8WYoBqGCKxlM
4,Poison,Fallen Angel - Remastered,57,https://open.spotify.com/track/27kMqdX3aoN3gBndVKlTfR
5,Poison,Talk Dirty To Me,57,https://open.spotify.com/track/08QP0rwnQSbbpGRIuXfrAY
6,Poison,Something To Believe In - Remastered,56,https://open.spotify.com/track/7pUYjnFTXMs0mFWsE9epqV
7,Poison,I Won't Forget You - Remastered,54,https://open.spotify.com/track/6WmVgLj2htklkU3SZOsItg
8,Poison,Your Mama Don't Dance,49,https://open.spotify.com/track/0FO5CkdIFiKOJNETXTyCMS
9,Poison,Life Goes On - Remastered,48,https://open.spotify.com/track/2OWKsyrgUINadOG21dR0Fh
10,Poison,Ride The Wind,47,https://open.spotify.com/track/5gpJr7OLgZWVYAyKWj0GuH
1,Desmond Dekker,007 (Shanty Town),57,https://open.spotify.com/track/7LOAChK8Lkj8ZdF1LuhNWP
2,Desmond Dekker,(Poor Mi) Israelites,45,https://open.spotify.com/track/53aXCpKRUASUQ8cIDsJ7VN
3,Desmond Dekker,Fu Man Chu,46,https://open.spotify.com/track/7t8hZZ13ePJH22jc1vJkCO
4,Desmond Dekker,You Can Get It If You Really Want,48,https://open.spotify.com/track/0TjOyjjHJb9WmyUQlq1F12
5,Desmond Dekker,It Mek,35,https://open.spotify.com/track/6JqjhpgxgoCYSBQ4PzIEn9
6,Desmond Dekker,Israelites,42,https://open.spotify.com/track/3c6ZxML3DW5rRAuhz7N3xY
7,Desmond Dekker,Intensified '68,40,https://open.spotify.com/track/4v6iaARbqmHtyaiP7wazRr
8,Desmond Dekker,First Time for a Long Time,30,https://open.spotify.com/track/0sgRQALiSVCOrs0r500FNQ
9,Desmond Dekker,Beautiful and Dangerous,35,https://open.spotify.com/track/30jnvpKVugdlmQ2nJd4vTW
10,Desmond Dekker,It Mek,34,https://open.spotify.com/track/3srtPjqQufgLYghLBSaDUX
1,The Chemical Brothers,Hey Boy Hey Girl,65,https://open.spotify.com/track/7kXmJwrZGIhDaLT9sNo3ut
2,The Chemical Brothers,Galvanize,63,https://open.spotify.com/track/4bz7uB4edifWKJXSDxwHcs
3,The Chemical Brothers,Go,48,https://open.spotify.com/track/2Xhd1kYKj2aee7JR3nIlRe
4,The Chemical Brothers,Got To Keep On,58,https://open.spotify.com/track/4vh6Rn6FVG4w79JmlZ5p7d
5,The Chemical Brothers,Let Forever Be,57,https://open.spotify.com/track/3m1JFLpKLYgMi1jf6Bu16P
6,The Chemical Brothers,The Salmon Dance,54,https://open.spotify.com/track/3vRYtf5xgPrYeVzAmqvzTd
7,The Chemical Brothers,Block Rockin' Beats,54,https://open.spotify.com/track/2wPFy7SAFnt9Nj2TipWcqb
8,The Chemical Brothers,No Geography,54,https://open.spotify.com/track/59Pm53KuA0xaLHcSAX94wk
9,The Chemical Brothers,Wide Open,47,https://open.spotify.com/track/2U5rN7uL5771qyOwErJCY8
10,The Chemical Brothers,Star Guitar,52,https://open.spotify.com/track/19mC6xktT1JyyycK6cQaXA
1,The Kooks,Naive,61,https://open.spotify.com/track/2RUhtNBh43RtSg0WBPPq3m
2,The Kooks,She Moves In Her Own Way,55,https://open.spotify.com/track/2SGBEDwsOAOAHrrdAd304i
3,The Kooks,Junk Of The Heart (Happy),64,https://open.spotify.com/track/2jZgzSxNSg1hTCq0ewWHGJ
4,The Kooks,Bad Habit,64,https://open.spotify.com/track/3huV7eiNpaQlCB3LbZi9bB
5,The Kooks,Seaside,49,https://open.spotify.com/track/0QCuMBeqdWkwFUTO1WlAjH
6,The Kooks,Ooh La,44,https://open.spotify.com/track/6xqCTPxYnRf8X0p6N5Vw2T
7,The Kooks,Sweet Emotion,58,https://open.spotify.com/track/0hIGUS1PQbv5NIrHIf6Fza
8,The Kooks,Always Where I Need To Be,57,https://open.spotify.com/track/6gGSSrKMiV2yec1DrqGhhy
9,The Kooks,So Good Looking,52,https://open.spotify.com/track/0I0onONP8E5RG8oxpWoGIY
10,The Kooks,Taking Pictures Of You,52,https://open.spotify.com/track/4lMwlBtIrYootJyUTTs3SE
1,Big Country,In A Big Country,52,https://open.spotify.com/track/1tAFvq63jO3n9WaDCZPJNh
2,Big Country,Look Away,46,https://open.spotify.com/track/4WYBE94dRKhhXLsOeVSNH8
3,Big Country,In A Big Country - Radio Edit,41,https://open.spotify.com/track/2eKuTki5i6iuxgzDHyqD6Q
4,Big Country,Chance,42,https://open.spotify.com/track/256HFTAUJJ2x5YuSQNA9OH
5,Big Country,Fields Of Fire,39,https://open.spotify.com/track/7f7bSSvBqxn6WAHTRZMWHB
6,Big Country,Fragile Thing,32,https://open.spotify.com/track/55yq12vTmjDndhNEawZsvH
7,Big Country,Just A Shadow,31,https://open.spotify.com/track/7lGxQnHhG3GWpzvevjwDmL
8,Big Country,The Storm,31,https://open.spotify.com/track/6hXUQ5yV1q31w8lhupf0gz
9,Big Country,Beautiful People,30,https://open.spotify.com/track/3iT5WUvrLeDCH7Fc2C2Sza
